상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804679822,세상,,N1,시설관리·임대,N105,여행사·보조,N10599,기타 여행 보조/예약 서비스업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 70,강원특별자치도 영월군 영월읍 동강로 486,128.523068406008,37.2169686383171
MA010120220804679836,변강쇠,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 486-64,강원특별자치도 영월군 영월읍 영월로 2085,128.478599915115,37.1815744864809
MA010120220804679842,강원레저,,N1,시설관리·임대,N105,여행사·보조,N10599,기타 여행 보조/예약 서비스업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1646-6,강원특별자치도 영월군 영월읍 동강로 100,128.501983511852,37.1916054269144
MA010120220804679903,피자스쿨영월점,,I2,음식,I210,기타 간이,I21003,피자,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 253-38,강원특별자치도 영월군 영월읍 중앙1로 22,128.465928503378,37.1831374882731
MA010120220804679911,하나레포츠,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 546-1,강원특별자치도 영월군 영월읍 삼옥길 4,128.509108838413,37.2078403854199
MA010120220804679921,하이텍,,S2,수리·개인,S205,가전제품 수리,S20501,가전제품 수리업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 672-12,강원특별자치도 영월군 영월읍 중앙로 236,128.477749374952,37.1714401332978
MA010120220804679926,이레네강아지,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 1069-7,강원특별자치도 영월군 영월읍 단종로15번길 46,128.465662492743,37.1851049034592
MA010120220804679928,최가네농원,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 연하리 95,강원특별자치도 영월군 영월읍 계사동길 145-4,128.573883401816,37.1810045663626
MA010120220804679934,영월엘지,대리점,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 940-5,강원특별자치도 영월군 영월읍 중앙로 54-2,128.469749275143,37.1833153888625
MA010120220804679944,한마음,,N1,시설관리·임대,N105,여행사·보조,N10599,기타 여행 보조/예약 서비스업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 70,강원특별자치도 영월군 영월읍 동강로 486,128.523068406008,37.2169686383171
