시도,광역지자체,지표 중분류,지표 소분류,기준년월,지표값
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202509,82.58
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202509,76.45
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202509,64.87
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202509,72.71
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202509,59.82
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202509,61.86
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202509,66.51
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202509,60.92
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202509,65.95
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202509,68.95
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202509,61.74
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202509,63.58
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202509,64.56
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202509,66.91
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202509,72.21
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202509,66.52
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202509,66.82
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202509,76.63
강원특별자치도,영월군,관광체류강도,숙박 비중,202509,80.58
강원특별자치도,영월군,관광체류강도,1박 방문자수,202509,59.53
강원특별자치도,영월군,관광체류강도,2박 방문자수,202509,64.83
강원특별자치도,영월군,관광체류강도,3박 방문자수,202509,60.79
강원특별자치도,영월군,관광소비강도,외지인 소비액,202509,63.78
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202509,81.17
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202509,67.62
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202509,58.06
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202509,57.9
강원특별자치도,영월군,관광객 다양성,30대 방문객수,202509,59.68
강원특별자치도,영월군,관광객 다양성,40대 방문객수,202509,58.53
강원특별자치도,영월군,관광객 다양성,50대 방문객수,202509,57.55
강원특별자치도,영월군,관광객 다양성,60대 방문객수,202509,60.6
강원특별자치도,영월군,관광객 다양성,70대 방문객수,202509,60.84
강원특별자치도,영월군,관광소비 다양성,10대 소비액,202509,66.28
강원특별자치도,영월군,관광소비 다양성,20대 소비액,202509,65.16
강원특별자치도,영월군,관광소비 다양성,30대 소비액,202509,64.28
강원특별자치도,영월군,관광소비 다양성,40대 소비액,202509,62.81
강원특별자치도,영월군,관광소비 다양성,50대 소비액,202509,62.65
강원특별자치도,영월군,관광소비 다양성,60대 소비액,202509,63.72
강원특별자치도,영월군,관광소비 다양성,70대 소비액,202509,64.37
강원특별자치도,영월군,국제적 다양성,외국인 소비액,202509,69.73
강원특별자치도,영월군,국제적 다양성,외국인 방문자수,202509,68.43
강원특별자치도,영월군,국제적 다양성,외국인 방문객 국적 다양성,202509,69.21
강원특별자치도,영월군,여행거리,강원특별자치도,202509,89.12
강원특별자치도,영월군,여행거리,경기도,202509,68.54
강원특별자치도,영월군,여행거리,경상남도,202509,60.88
강원특별자치도,영월군,여행거리,경상북도,202509,64.07
강원특별자치도,영월군,여행거리,광주광역시,202509,60.99
강원특별자치도,영월군,여행거리,대구광역시,202509,63.95
강원특별자치도,영월군,여행거리,대전광역시,202509,64.6
강원특별자치도,영월군,여행거리,부산광역시,202509,62.41
강원특별자치도,영월군,여행거리,서울특별시,202509,67.41
강원특별자치도,영월군,여행거리,세종특별자치시,202509,65.22
강원특별자치도,영월군,여행거리,울산광역시,202509,64.42
강원특별자치도,영월군,여행거리,인천광역시,202509,68.91
강원특별자치도,영월군,여행거리,전라남도,202509,61.51
강원특별자치도,영월군,여행거리,전북특별자치도,202509,62.35
강원특별자치도,영월군,여행거리,제주특별자치도,202509,64.04
강원특별자치도,영월군,여행거리,충청남도,202509,64.74
강원특별자치도,영월군,여행거리,충청북도,202509,73.56
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202510,74.65
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202510,75.3
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202510,65.14
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202510,73.63
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202510,59.83
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202510,61.87
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202510,66.69
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202510,61.02
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202510,65.95
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202510,80.34
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202510,65.16
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202510,65.89
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202510,71.41
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202510,68.58
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202510,87.5
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202510,68.4
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202510,68.64
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202510,89.07
강원특별자치도,영월군,관광체류강도,숙박 비중,202510,94.15
강원특별자치도,영월군,관광체류강도,1박 방문자수,202510,63.66
강원특별자치도,영월군,관광체류강도,2박 방문자수,202510,76.37
강원특별자치도,영월군,관광체류강도,3박 방문자수,202510,68.33
강원특별자치도,영월군,관광소비강도,외지인 소비액,202510,64.38
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202510,81.8
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202510,70.7
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202510,58.73
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202510,58.31
강원특별자치도,영월군,관광객 다양성,30대 방문객수,202510,60.27
강원특별자치도,영월군,관광객 다양성,40대 방문객수,202510,59.32
강원특별자치도,영월군,관광객 다양성,50대 방문객수,202510,58.23
강원특별자치도,영월군,관광객 다양성,60대 방문객수,202510,61.14
강원특별자치도,영월군,관광객 다양성,70대 방문객수,202510,61.65
강원특별자치도,영월군,관광소비 다양성,10대 소비액,202510,66.38
강원특별자치도,영월군,관광소비 다양성,20대 소비액,202510,65.28
강원특별자치도,영월군,관광소비 다양성,30대 소비액,202510,64.6
강원특별자치도,영월군,관광소비 다양성,40대 소비액,202510,63.46
강원특별자치도,영월군,관광소비 다양성,50대 소비액,202510,63.66
강원특별자치도,영월군,관광소비 다양성,60대 소비액,202510,64.84
강원특별자치도,영월군,관광소비 다양성,70대 소비액,202510,64.58
강원특별자치도,영월군,국제적 다양성,외국인 소비액,202510,69.71
강원특별자치도,영월군,국제적 다양성,외국인 방문자수,202510,68.6
강원특별자치도,영월군,국제적 다양성,외국인 방문객 국적 다양성,202510,72.16
강원특별자치도,영월군,여행거리,강원특별자치도,202510,87.81
강원특별자치도,영월군,여행거리,경기도,202510,74.62
강원특별자치도,영월군,여행거리,경상남도,202510,64.41
강원특별자치도,영월군,여행거리,경상북도,202510,65.54
강원특별자치도,영월군,여행거리,광주광역시,202510,62.97
강원특별자치도,영월군,여행거리,대구광역시,202510,65.94
강원특별자치도,영월군,여행거리,대전광역시,202510,67.08
강원특별자치도,영월군,여행거리,부산광역시,202510,65.28
강원특별자치도,영월군,여행거리,서울특별시,202510,70.97
강원특별자치도,영월군,여행거리,세종특별자치시,202510,68.12
강원특별자치도,영월군,여행거리,울산광역시,202510,69.59
강원특별자치도,영월군,여행거리,인천광역시,202510,76.14
강원특별자치도,영월군,여행거리,전라남도,202510,63.57
강원특별자치도,영월군,여행거리,전북특별자치도,202510,63.64
강원특별자치도,영월군,여행거리,제주특별자치도,202510,64.58
강원특별자치도,영월군,여행거리,충청남도,202510,67.6
강원특별자치도,영월군,여행거리,충청북도,202510,76.42
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202511,70.71
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202511,72.28
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202511,64.17
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202511,71.23
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202511,59.82
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202511,61.86
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202511,66.51
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202511,60.94
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202511,65.95
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202511,68.42
